canonical_id,publisher,product_family,edition,version,metric_type,aliases,classification
MS-WINSVR-STD-2012,Microsoft,Windows Server,Standard,2012,Per Core (2-core pack; 8 core/proc & 16 core/server min),Windows Server 2012 Standard|Windows Server Std 2012|Win Svr Std 2012|WINSVRSTD2012,Commercial
MS-WINSVR-DC-2012,Microsoft,Windows Server,Datacenter,2012,Per Core (2-core pack; unlimited virtualization rights),Windows Server 2012 Datacenter|Windows Server DC 2012|Win Svr DC 2012|WINSVRDC2012,Commercial
MS-WINSVR-STD-2012R2,Microsoft,Windows Server,Standard,2012 R2,Per Core (2-core pack; 8 core/proc & 16 core/server min),Windows Server 2012 R2 Standard|Windows Server Std 2012 R2|Win Svr Std 2012 R2|WINSVRSTD2012R2,Commercial
MS-WINSVR-DC-2012R2,Microsoft,Windows Server,Datacenter,2012 R2,Per Core (2-core pack; unlimited virtualization rights),Windows Server 2012 R2 Datacenter|Windows Server DC 2012 R2|Win Svr DC 2012 R2|WINSVRDC2012R2,Commercial
MS-WINSVR-STD-2016,Microsoft,Windows Server,Standard,2016,Per Core (2-core pack; 8 core/proc & 16 core/server min),Windows Server 2016 Standard|Windows Server Std 2016|Win Svr Std 2016|WINSVRSTD2016,Commercial
MS-WINSVR-DC-2016,Microsoft,Windows Server,Datacenter,2016,Per Core (2-core pack; unlimited virtualization rights),Windows Server 2016 Datacenter|Windows Server DC 2016|Win Svr DC 2016|WINSVRDC2016,Commercial
MS-WINSVR-STD-2019,Microsoft,Windows Server,Standard,2019,Per Core (2-core pack; 8 core/proc & 16 core/server min),Windows Server 2019 Standard|Windows Server Std 2019|Win Svr Std 2019|WINSVRSTD2019,Commercial
MS-WINSVR-DC-2019,Microsoft,Windows Server,Datacenter,2019,Per Core (2-core pack; unlimited virtualization rights),Windows Server 2019 Datacenter|Windows Server DC 2019|Win Svr DC 2019|WINSVRDC2019,Commercial
MS-WINSVR-STD-2022,Microsoft,Windows Server,Standard,2022,Per Core (2-core pack; 8 core/proc & 16 core/server min),Windows Server 2022 Standard|Windows Server Std 2022|Win Svr Std 2022|WINSVRSTD2022,Commercial
MS-WINSVR-DC-2022,Microsoft,Windows Server,Datacenter,2022,Per Core (2-core pack; unlimited virtualization rights),Windows Server 2022 Datacenter|Windows Server DC 2022|Win Svr DC 2022|WINSVRDC2022,Commercial
MS-WINSVR-STD-2025,Microsoft,Windows Server,Standard,2025,Per Core (2-core pack; 8 core/proc & 16 core/server min),Windows Server 2025 Standard|Windows Server Std 2025|Win Svr Std 2025|WINSVRSTD2025,Commercial
MS-WINSVR-DC-2025,Microsoft,Windows Server,Datacenter,2025,Per Core (2-core pack; unlimited virtualization rights),Windows Server 2025 Datacenter|Windows Server DC 2025|Win Svr DC 2025|WINSVRDC2025,Commercial
MS-SQL-STD-2012,Microsoft,SQL Server,Standard,2012,Per Core (2-core pack) or Server+CAL,SQL Server 2012 Standard|SQL Svr Std 2012|Microsoft SQL Server 2012 Standard Edition|SQLSVRSTD2012,Commercial
MS-SQL-ENT-2012,Microsoft,SQL Server,Enterprise,2012,Per Core (2-core pack only),SQL Server 2012 Enterprise|SQL Svr Ent 2012|Microsoft SQL Server 2012 Enterprise Edition|SQLSVRENT2012,Commercial
MS-SQL-STD-2014,Microsoft,SQL Server,Standard,2014,Per Core (2-core pack) or Server+CAL,SQL Server 2014 Standard|SQL Svr Std 2014|Microsoft SQL Server 2014 Standard Edition|SQLSVRSTD2014,Commercial
MS-SQL-ENT-2014,Microsoft,SQL Server,Enterprise,2014,Per Core (2-core pack only),SQL Server 2014 Enterprise|SQL Svr Ent 2014|Microsoft SQL Server 2014 Enterprise Edition|SQLSVRENT2014,Commercial
MS-SQL-STD-2016,Microsoft,SQL Server,Standard,2016,Per Core (2-core pack) or Server+CAL,SQL Server 2016 Standard|SQL Svr Std 2016|Microsoft SQL Server 2016 Standard Edition|SQLSVRSTD2016,Commercial
MS-SQL-ENT-2016,Microsoft,SQL Server,Enterprise,2016,Per Core (2-core pack only),SQL Server 2016 Enterprise|SQL Svr Ent 2016|Microsoft SQL Server 2016 Enterprise Edition|SQLSVRENT2016,Commercial
MS-SQL-STD-2017,Microsoft,SQL Server,Standard,2017,Per Core (2-core pack) or Server+CAL,SQL Server 2017 Standard|SQL Svr Std 2017|Microsoft SQL Server 2017 Standard Edition|SQLSVRSTD2017,Commercial
MS-SQL-ENT-2017,Microsoft,SQL Server,Enterprise,2017,Per Core (2-core pack only),SQL Server 2017 Enterprise|SQL Svr Ent 2017|Microsoft SQL Server 2017 Enterprise Edition|SQLSVRENT2017,Commercial
MS-SQL-STD-2019,Microsoft,SQL Server,Standard,2019,Per Core (2-core pack) or Server+CAL,SQL Server 2019 Standard|SQL Svr Std 2019|Microsoft SQL Server 2019 Standard Edition|SQLSVRSTD2019,Commercial
MS-SQL-ENT-2019,Microsoft,SQL Server,Enterprise,2019,Per Core (2-core pack only),SQL Server 2019 Enterprise|SQL Svr Ent 2019|Microsoft SQL Server 2019 Enterprise Edition|SQLSVRENT2019,Commercial
MS-SQL-STD-2022,Microsoft,SQL Server,Standard,2022,Per Core (2-core pack) or Server+CAL,SQL Server 2022 Standard|SQL Svr Std 2022|Microsoft SQL Server 2022 Standard Edition|SQLSVRSTD2022,Commercial
MS-SQL-ENT-2022,Microsoft,SQL Server,Enterprise,2022,Per Core (2-core pack only),SQL Server 2022 Enterprise|SQL Svr Ent 2022|Microsoft SQL Server 2022 Enterprise Edition|SQLSVRENT2022,Commercial
MS-SQL-WEB,Microsoft,SQL Server,Web,,Per Core (hosting only),SQL Server Web Edition|SQL Svr Web,Commercial
MS-SQL-DEV,Microsoft,SQL Server,Developer,,Free (non-production use only),SQL Server Developer Edition|SQL Svr Dev,Commercial
MS-SQL-EXPRESS,Microsoft,SQL Server,Express,,Free (no license required),SQL Server Express|SQLEXPRESS|SQL Svr Express,Freeware
MS-SQL-CAL,Microsoft,SQL Server,Client Access License,,Per User or Per Device,SQL Server CAL|SQL CAL,Commercial
MS-WIN7-PRO,Microsoft,Windows 7,Pro,,Per Device (OEM or Volume License),Windows 7 Pro|Windows 7 Professional|Win7 Pro,Commercial
MS-WIN7-ENT,Microsoft,Windows 7,Enterprise,,Per Device (VL or M365 entitlement),Windows 7 Enterprise|Win7 Ent,Commercial
MS-WIN81-PRO,Microsoft,Windows 8.1,Pro,,Per Device (OEM or Volume License),Windows 8.1 Pro|Windows 8.1 Professional|Win8.1 Pro,Commercial
MS-WIN81-ENT,Microsoft,Windows 8.1,Enterprise,,Per Device (VL or M365 entitlement),Windows 8.1 Enterprise|Win8.1 Ent,Commercial
MS-WIN10-PRO,Microsoft,Windows 10,Pro,,Per Device (OEM or Volume License),Windows 10 Pro|Windows 10 Professional|Win10 Pro,Commercial
