Publisher,Product Title,Product Version,Edition,License Metric,Recognized
Microsoft,SQL Server,2019,Standard,Per Core,Yes
Microsoft,SQL Server,2022,Enterprise,Per Core,Yes
Microsoft,Windows Server,2022,Standard,Per Core,Yes
Oracle,Database,19c,Enterprise Edition,Named User Plus / Processor,Yes
IBM,Db2,,Advanced Enterprise Server Edition,PVU,Yes
SAP,S/4HANA,,Professional User,Named User,Yes
Adobe,Acrobat,DC,Pro,Named User Subscription,Yes
Atlassian,Jira Software,,Cloud,Per User Subscription,Yes
Atlassian,Confluence,,Cloud,Per User Subscription,Yes
Salesforce,Sales Cloud,,Enterprise,Per User Subscription,Yes
ServiceNow,ITSM,,Professional,Per User Subscription,Yes
Zoom,Zoom Workplace,,Pro,Per User Subscription,Yes
Slack,Slack,,Business+,Per User Subscription,Yes
Autodesk,AutoCAD,2024,,Named User Subscription,Yes
Citrix,Virtual Apps and Desktops,,Advanced,Per User/Device,Yes
,Unknown Internal Tool,,,,No
Microsoft,SQL Server,2019,Standard,Per Core,Yes
